id;song_title;album_title;year_of_release;month_of_release;type
293;Shooting Star;Oh Mercy;1989;9;Original
294;Wiggle Wiggle;Under the Red Sky;1990;9;Original
295;Under the Red Sky;Under the Red Sky;1990;9;Original
296;Unbelievable;Under the Red Sky;1990;9;Original
297;Born in Time;Under the Red Sky;1990;9;Original
298;T.V. Talkin' Song;Under the Red Sky;1990;9;Original
299;10,000 Men;Under the Red Sky;1990;9;Original
300;2 X 2;Under the Red Sky;1990;9;Original
301;God Knows;Under the Red Sky;1990;9;Original
302;Handy Dandy;Under the Red Sky;1990;9;Original
303;Cat's in the Well;Under the Red Sky;1990;9;Original
304;Frankie & Albert;Good as I Been to You;1992;10;Traditional
305;Jim Jones;Good as I Been to You;1992;10;Traditional
306;Blackjack Davey;Good as I Been to You;1992;10;Traditional
307;Canadee-I-O;Good as I Been to You;1992;10;Traditional
308;Sittin' on Top of the World;Good as I Been to You;1992;10;Traditional
309;Little Maggie;Good as I Been to You;1992;10;Traditional
310;Hard Times;Good as I Been to You;1992;10;Traditional
311;Step It Up and Go;Good as I Been to You;1992;10;Traditional
312;Tomorrow Night;Good as I Been to You;1992;10;Traditional
313;Arthur McBride;Good as I Been to You;1992;10;Traditional
314;You're Gonna Quit Me;Good as I Been to You;1992;10;Traditional
315;Diamond Joe;Good as I Been to You;1992;10;Traditional
316;Froggie Went A-Courtin';Good as I Been to You;1992;10;Traditional
317;World Gone Wrong;World Gone Wrong;1993;10;Traditional
318;Love Henry;World Gone Wrong;1993;10;Traditional
319;Ragged & Dirty;World Gone Wrong;1993;10;Traditional
320;Blood in My Eyes;World Gone Wrong;1993;10;Traditional
321;Broke Down Engine;World Gone Wrong;1993;10;Traditional
322;Delia;World Gone Wrong;1993;10;Traditional
323;Stack a Lee;World Gone Wrong;1993;10;Traditional
324;Two Soldiers;World Gone Wrong;1993;10;Traditional
325;Jack-A-Roe;World Gone Wrong;1993;10;Traditional
326;Lone Pilgrim;World Gone Wrong;1993;10;Traditional
327;Love Sick;Time Out of Mind;1997;9;Original
328;Dirt Road Blues;Time Out of Mind;1997;9;Original
329;Standing in the Doorway;Time Out of Mind;1997;9;Original
330;Million Miles;Time Out of Mind;1997;9;Original
331;Tryin' to Get to Heaven;Time Out of Mind;1997;9;Original
332;'Til I Fell in Love with You;Time Out of Mind;1997;9;Original
333;Not Dark Yet;Time Out of Mind;1997;9;Original
334;Cold Irons Bound;Time Out of Mind;1997;9;Original
335;Make You Feel My Love;Time Out of Mind;1997;9;Original
336;Can't Wait;Time Out of Mind;1997;9;Original
337;Highlands;Time Out of Mind;1997;9;Original
338;Tweedle Dee & Tweedle Dum;Love and Theft;2001;9;Original
339;Mississippi;Love and Theft;2001;9;Original
340;Summer Days;Love and Theft;2001;9;Original
341;Bye and Bye;Love and Theft;2001;9;Original
342;Lonesome Day Blues;Love and Theft;2001;9;Original
343;Floater (Too Much to Ask);Love and Theft;2001;9;Original
344;High Water (for Charley Patton);Love and Theft;2001;9;Original
345;Moonlight;Love and Theft;2001;9;Original
346;Honest with Me;Love and Theft;2001;9;Original
347;Po' Boy;Love and Theft;2001;9;Original
348;Cry a While;Love and Theft;2001;9;Original
349;Sugar Baby;Love and Theft;2001;9;Original
350;Thunder on the Mountain;Modern Times;2006;8;Original
351;Spirit on the Water;Modern Times;2006;8;Original
352;Rollin' and Tumblin';Modern Times;2006;8;Original
353;When the Deal Goes Down;Modern Times;2006;8;Original
354;Someday Baby;Modern Times;2006;8;Original
355;Workingman's Blues #2;Modern Times;2006;8;Original
356;Beyond the Horizon;Modern Times;2006;8;Original
357;Nettie Moore;Modern Times;2006;8;Original
358;The Levee's Gonna Break;Modern Times;2006;8;Original
359;Ain't Talkin';Modern Times;2006;8;Original
360;Beyond Here Lies Nothin';Together Through Life;2009;4;Original
361;Life is Hard;Together Through Life;2009;4;Original
362;My Wife's Home Town;Together Through Life;2009;4;Original
363;If You Ever Go to Houston;Together Through Life;2009;4;Original
364;Forgetful Heart;Together Through Life;2009;4;Original
365;Jolene;Together Through Life;2009;4;Original
366;This Dream of You;Together Through Life;2009;4;Original
